"gender"	"age"	"attitude"	"deep"	"surf"	"stra"	"points"
"60"	"F"	23	3.3	2.91666666666667	3.25	4	25
"61"	"M"	21	4.8	3.5	2.5	2.25	29
"62"	"M"	21	4	4.33333333333333	1.75	3.25	33
"63"	"F"	21	4	4.25	2.25	3.625	33
"64"	"F"	21	4.7	3.41666666666667	2.08333333333333	3.625	25
"65"	"F"	26	2.3	3.08333333333333	2.83333333333333	2.5	18
"66"	"F"	25	3.1	4.58333333333333	2.83333333333333	1.875	22
"67"	"F"	26	2.7	3.41666666666667	2.41666666666667	2	17
"68"	"M"	21	4.1	3.41666666666667	2.25	1.875	25
"70"	"F"	23	3.4	3.41666666666667	2.83333333333333	4	28
"71"	"F"	22	2.5	3.58333333333333	2.25	2.875	22
"72"	"F"	22	2.1	1.58333333333333	1.83333333333333	3.875	26
"73"	"F"	22	1.4	3.33333333333333	2.91666666666667	2.5	11
"74"	"F"	23	1.9	4.33333333333333	2.91666666666667	2.75	29
"75"	"M"	22	3.7	4.41666666666667	2.08333333333333	4.5	22
"77"	"M"	23	3.2	4.83333333333333	2.33333333333333	3.375	21
"78"	"M"	24	2.8	3.08333333333333	2.41666666666667	2.625	28
"79"	"F"	22	4.1	3	2.75	4.125	33
"80"	"F"	23	2.5	4.08333333333333	3.25	2.625	16
"81"	"M"	22	2.8	4.08333333333333	1.75	2.25	31
"82"	"M"	20	3.8	3.75	2.58333333333333	2.75	22
"83"	"M"	22	3.1	3.08333333333333	3.33333333333333	3	31
"84"	"M"	21	3.5	4.75	2.83333333333333	1.625	23
"85"	"F"	22	3.6	4.25	2.5	1.875	26
"86"	"F"	23	2.6	4.16666666666667	2.41666666666667	3.375	12
"87"	"M"	21	4.4	4.41666666666667	2.41666666666667	3.75	26
"88"	"M"	22	4.5	3.83333333333333	2.58333333333333	2.125	31
"89"	"M"	29	3.2	3.33333333333333	3	2.375	19
"91"	"F"	29	3.9	3.16666666666667	2	2.75	30
"92"	"F"	21	2.5	3.16666666666667	3.41666666666667	3.125	12
"93"	"M"	28	3.3	3.83333333333333	2.83333333333333	3.5	17
"95"	"F"	21	3.3	4.25	2.25	2.625	18
"96"	"F"	30	3	3.83333333333333	2.75	3.375	19
"97"	"F"	21	2.9	3.66666666666667	3.91666666666667	2.25	21
"98"	"M"	23	3.3	3.83333333333333	2.33333333333333	3	24
"99"	"F"	21	3.3	3.83333333333333	2.75	4	28
"100"	"F"	21	3.5	3.83333333333333	2.75	3.5	17
"101"	"F"	20	3.6	3.66666666666667	2.91666666666667	2.625	18
"103"	"M"	22	3.7	4.33333333333333	2.08333333333333	2.5	17
"105"	"M"	21	4.2	3.75	3.66666666666667	3.75	23
"107"	"M"	21	3.2	4.16666666666667	2.83333333333333	3.625	26
"108"	"F"	20	5	4	3.41666666666667	4.125	28
"109"	"M"	22	4.7	4	1.58333333333333	4.375	31
"110"	"F"	20	3.6	4.58333333333333	2.91666666666667	2.625	27
"111"	"F"	20	3.6	3.66666666666667	3	4	25
"112"	"M"	24	2.9	3.66666666666667	2.91666666666667	2.75	23
"113"	"F"	20	3.5	3.83333333333333	2.66666666666667	2.75	21
"114"	"F"	19	4	2.58333333333333	3	1.375	27
"115"	"F"	21	3.5	3.5	2.75	2.25	28
"116"	"F"	21	3.2	3.08333333333333	3.08333333333333	3.625	23
"117"	"F"	22	2.6	4.25	2.5	3.75	21
"118"	"F"	25	2	3.16666666666667	2.33333333333333	4	25
"119"	"F"	21	2.7	3.08333333333333	3	3.125	11
"120"	"F"	22	3.2	4.16666666666667	3	3.25	19
"121"	"F"	25	3.3	2.25	4	2.125	24
"122"	"F"	20	3.9	3.33333333333333	3.25	2.875	28
"123"	"M"	24	3.3	3.08333333333333	3.5	1.5	21
"124"	"F"	20	3	2.75	3.5	2.5	24
"125"	"M"	21	3.7	3.25	3.83333333333333	3.25	24
"128"	"F"	20	2.5	4	2.91666666666667	3.625	20
"129"	"F"	20	2.9	3.58333333333333	2.16666666666667	3.875	19
"130"	"M"	31	3.9	4.08333333333333	1.66666666666667	3.875	30
"131"	"F"	20	3.6	4.25	2.08333333333333	2.375	22
"132"	"F"	22	2.9	3.41666666666667	2.83333333333333	3	16
"133"	"F"	22	2.1	3.08333333333333	3.41666666666667	3.375	16
"134"	"M"	21	3.1	3.5	3.33333333333333	2.75	19
"136"	"M"	22	4	3.66666666666667	2.58333333333333	4.5	30
"137"	"F"	21	3.1	4.25	2.83333333333333	2.625	23
"138"	"F"	21	2.3	4.25	3.33333333333333	2.75	19
"139"	"F"	21	2.8	3.83333333333333	3	3.25	18
"140"	"F"	21	3.7	4.41666666666667	2.58333333333333	4.125	28
"141"	"F"	20	2.6	3.5	2.41666666666667	3.375	21
"142"	"F"	21	2.4	3.58333333333333	3.58333333333333	2.75	19
"143"	"F"	25	3	3.66666666666667	2.08333333333333	4.125	27
"146"	"M"	21	2.8	2.08333333333333	4.33333333333333	3.25	24
"147"	"F"	24	2.9	4.25	2.66666666666667	2.875	21
"148"	"F"	20	2.4	3.58333333333333	3	2.875	20
"149"	"M"	21	3.1	4	2.66666666666667	2.375	28
"150"	"F"	20	1.9	3.33333333333333	2.16666666666667	3.875	12
"151"	"F"	20	2	3.5	2.66666666666667	2.125	21
"152"	"F"	18	3.8	3.16666666666667	2.25	4	28
"153"	"F"	21	3.4	3.58333333333333	2.66666666666667	3.25	31
"154"	"F"	19	3.7	3.41666666666667	3.33333333333333	2.625	18
"155"	"F"	21	2.9	4.25	3.5	2.75	25
"156"	"F"	20	2.3	3.25	2.75	4	19
"157"	"M"	21	4.1	4.41666666666667	2	3	21
"158"	"F"	20	2.7	3.25	2.83333333333333	3.375	16
"159"	"F"	21	3.5	3.91666666666667	3.5	3.875	7
"160"	"F"	20	3.4	3.58333333333333	2.5	3.25	21
"161"	"F"	18	3.2	4.5	3.16666666666667	3.375	17
"162"	"M"	22	3.3	3.58333333333333	3.08333333333333	4.125	22
"163"	"F"	22	3.3	3.66666666666667	2.91666666666667	3.5	18
"164"	"M"	24	3.5	2.58333333333333	3.16666666666667	2	25
"165"	"F"	19	3.2	4.16666666666667	2.5	3.625	24
"166"	"F"	20	3.1	3.25	3.83333333333333	3.375	23
"168"	"F"	20	2.8	4.33333333333333	2.25	2.125	23
"169"	"F"	17	1.7	3.91666666666667	3.41666666666667	4.625	26
"170"	"M"	19	1.9	2.66666666666667	3.75	2.5	12
"172"	"F"	20	3.5	3.08333333333333	3	2.875	32
"173"	"F"	20	2.4	3.75	2.58333333333333	2.75	22
"175"	"F"	20	2.1	4.16666666666667	3.33333333333333	4	20
"176"	"F"	20	2.9	4.16666666666667	2.83333333333333	2.375	21
"177"	"F"	19	1.9	3.25	3	3.875	23
"178"	"F"	19	2	4.08333333333333	2.83333333333333	3.375	20
"179"	"F"	22	4.2	2.91666666666667	3.16666666666667	1.75	28
"180"	"M"	35	4.1	3.83333333333333	2.75	3	31
"181"	"F"	18	3.7	3.16666666666667	3.41666666666667	2.625	18
"182"	"F"	19	3.6	3.41666666666667	3	2.625	30
"183"	"M"	21	1.8	4.08333333333333	2.66666666666667	3.375	19
